freq,real,imag
6457.0,59.53292699013781,-17.870775789921858
6606.999999999999,60.34101010051651,-16.557385533529253
6760.999999999999,58.87552828697617,-17.354417179543272
6918.0,60.03972946415431,-18.041106387953516
7079.000000000001,59.97903671576901,-17.330868502581033
7244.0,58.84962690983496,-16.256682293460727
7413.0,59.21711585556406,-16.725173544421935
7586.0,58.87922331068886,-15.490610392971766
7762.0,59.064769729721604,-15.463163887485337
7943.0,58.18659136249331,-14.86753667852254
8128.0,57.78181324513097,-13.772716148145813
8318.0,58.88755005377394,-15.469515007069479
8511.0,59.39875927574963,-14.517643424948488
8710.0,57.88846588747456,-13.996701841560414
8913.0,59.7288095902658,-12.348392380138034
9120.0,57.45201830410757,-14.89640506627995
9333.0,59.39780697517641,-13.164759920397847
9550.0,57.92155751441053,-13.17598096067878
9772.0,58.974556972676005,-13.773826847361335
10000.0,57.640427163977826,-13.134207917771928
10230.0,57.49284124005233,-13.556990469752115
10470.0,57.65270128995809,-12.86340083211117
10720.0,57.360380761450685,-11.659433327743386
10960.0,57.60844535183953,-12.460023822234568
11219.999999999998,57.363462320378126,-11.948972551667719
11480.0,57.479121211517885,-12.1582848737451
11750.0,57.28722646476515,-11.584300015725118
12020.0,57.22080210663056,-10.389820799451194
12299.999999999998,57.92761341249127,-10.84363641860202
12590.0,56.214608619487215,-10.328797983393944
12880.0,56.9851510003725,-10.548093050293355
13179.999999999998,56.034222791159316,-10.096117862016978
13490.0,56.319670737556194,-9.449045167206773
13800.0,56.463075854440284,-10.468864754417098
14130.0,56.47209245509531,-8.972564255853356
14450.0,56.447386907990094,-8.515583407027613
14790.0,55.17259100253894,-9.638812247243655
15139.999999999998,55.69040385990124,-8.901594851890836
15490.0,56.28041539352651,-8.533112897771813
15850.0,56.3017126967621,-9.150766476083465
16219.999999999998,56.33651334121194,-9.089426976846694
16600.0,55.95319714591317,-9.0149894999375
16980.0,55.62621965218461,-8.610364944758754
17380.0,55.86759955467376,-8.885044691588593
17780.0,55.37335428339538,-8.42654617349905
18200.0,54.28792388655605,-7.830340559105606
18620.0,54.85838941159369,-7.324561630694938
19050.0,54.817859566538395,-7.574068917297729
19500.0,55.49285751778216,-7.183456000958381
19950.0,55.14579159013574,-7.369839009839823
20420.0,55.00411866385541,-6.958587066827592
20889.999999999996,54.44833068607584,-7.322509623108985
21380.0,55.628969545621665,-7.292691186212529
21880.0,55.45636957492238,-6.924056714744252
22390.0,55.16527540761512,-6.902562441418234
22910.0,54.94646433435029,-6.066260626261518
23440.0,54.767235261872194,-6.143601492602111
23990.000000000004,55.25267987095811,-6.0999577247447565
24550.0,54.97572097769574,-6.233180669871109
25120.0,54.58129564762797,-5.417775670124606
25700.0,55.276251123127246,-5.864512337924483
26300.0,55.00459629077584,-5.322198249390641
26920.0,55.37825257911543,-6.09879281614493
27540.0,54.85438463791153,-6.301206311074639
28180.0,54.94967004142625,-6.065301694025865
28840.0,55.53877413616639,-5.62276397750033
29510.0,55.980373172122135,-5.10765081381436
30200.0,54.20785764329428,-5.152608112752124
30900.0,55.56421743790112,-5.278392483305876
31620.000000000004,54.73396337518863,-4.75679073315566
32360.0,54.793732178503625,-5.1855954239752835
33110.0,55.64494520317723,-5.4576318848970375
33880.0,54.649191938449825,-4.844097368070671
34670.0,55.00142022458143,-4.893245273718929
35480.0,54.8723711613682,-4.592401438921466
36310.0,54.62962058276174,-4.324128606985225
37150.0,54.301283395637725,-4.294919955457854
38020.0,54.25177091399676,-4.456425387882473
38900.0,54.208815712766196,-4.41736208836615
39810.0,54.47073872688065,-4.597758541730413
40740.0,54.375647764367756,-4.1524275762335865
41690.0,54.22862330591891,-3.833508687936129
42659.99999999999,54.21198102127837,-3.7122784807621074
43650.0,54.33424051423026,-4.573942902148283
44670.00000000001,54.136594639091115,-3.5790924848177155
45710.0,54.01550446855213,-3.9286580371798454
46769.99999999999,54.10438128353939,-3.956867544039768
47859.99999999999,54.27379347753676,-3.0318405748472332
48980.0,54.156152656552656,-3.865785303090974
50120.00000000001,53.947488747267215,-3.766510202529237
51290.00000000001,53.99564611234831,-3.2333031768844367
52480.0,54.380081032733266,-3.27962677205193
53700.0,54.10345098335726,-3.3935704410981153
54950.0,54.37318438037487,-3.4642642502370067
56230.0,53.572438817529914,-3.0796930592080267
57540.00000000001,54.04921381574101,-2.7227664804999567
58880.00000000001,53.81301465040049,-3.0142049392272527
60260.0,53.57509740941339,-3.1918363786470634
61660.0,53.91943711761296,-2.9768233898097707
63100.0,53.32429046056267,-3.1447347190146093
64570.0,52.79643771373692,-2.8274681104143307
66070.0,53.3218369510703,-2.696612963332413
67610.0,52.90945494104392,-2.3908192840710756
69180.0,52.48961585174346,-2.8356616920390496
70790.0,53.47986538301595,-2.4371763978689382
72440.0,53.092583849521596,-2.975767567464846
74130.0,52.80358084988112,-2.552261104887356
75860.0,52.92921907319349,-2.3667177028744906
77620.0,53.50636614173753,-2.277331310700043
79430.0,52.80950453571095,-2.2761192784359072
81280.0,52.70995382131879,-2.476857884618439
