freq,real,imag
144.5,182.19075672092623,-211.27040145644625
147.9,179.68281585725376,-208.2600720378497
151.4,176.65081428439504,-204.6296907723536
154.9,174.8449144900119,-202.3434511346699
158.5,172.2239471138461,-199.9308956954828
162.2,170.98611117710226,-196.66798890968025
166.00000000000003,167.88628637903906,-194.12551376696
169.8,165.56674020445928,-190.00258595045057
173.79999999999998,164.1381336064106,-187.64592230036365
177.8,161.9967886604995,-185.87718131220976
182.0,160.48329113249414,-182.32671085754257
186.2,157.95604244703992,-179.30777006576741
190.5,155.76010268525496,-177.0181701164706
195.0,154.69331420380814,-174.45527211186428
199.5,152.28999815552143,-171.65336504504708
204.2,150.20122494001697,-169.61978532855252
208.9,148.45743116846842,-165.793998055437
213.8,147.15305671589925,-164.3880554652678
218.8,144.3098049539378,-161.52892073137647
223.9,143.70424456258036,-158.97506639591307
229.09999999999997,141.53778185305785,-156.55266862499113
234.40000000000003,140.11256122483755,-154.8289487776245
239.90000000000003,138.63928893017052,-151.47566596815147
245.50000000000003,137.52510492740234,-149.19608123458582
251.19999999999996,134.90336719404326,-146.07384875608858
257.0,134.10806591438777,-145.57205596719643
263.0,132.57221674906185,-142.63407116337953
269.2,131.07304476710993,-140.14932318588598
275.4,129.27459984245996,-137.36362316094502
281.8,127.84972182339155,-136.03083629617925
288.4,126.04874945953883,-133.99625531419952
295.1,124.52928602652472,-131.15097148533766
302.0,122.71237729755383,-129.6414848988561
309.0,122.44855944321701,-127.64184275413056
316.2,120.49252352573139,-125.46098847737808
323.6,118.65343634465654,-123.99889127815398
331.1,118.67335905709278,-121.4141964992143
338.79999999999995,117.14294695785917,-119.87309786284116
346.69999999999993,116.09247994623013,-117.37620319804483
354.8,114.15615933318962,-115.84094076582707
363.1,113.44267510912692,-113.98382787407786
371.5,112.44418154331282,-111.59826247367381
380.2,109.87216452861014,-109.65048588922956
389.0,110.01680447640251,-107.92882316161845
398.1,108.0165524379399,-106.71039821637416
407.3999999999999,107.72779549575421,-105.04739844742554
416.9,106.97534264824927,-103.83162418578577
426.6,104.73985440575352,-100.98086962606332
436.5,104.07448562347132,-99.47348916292442
446.7,102.26136550859783,-98.14054876478092
457.1,101.51342000645249,-96.6410043993759
467.7,101.13710907154876,-94.32040991163205
478.6,100.25508825884944,-92.37793549944749
489.8,98.67003386525177,-91.81338543354731
501.2,98.40486672701685,-89.93041347898392
512.9,97.86163277315383,-88.41586995967815
524.8,96.25299300803485,-87.1764655743363
537.0,95.61656087821623,-85.51832548756973
549.5,94.97860892343738,-83.97148724460583
